app_name,platform,user_category,developer,store_category,version,release_date,initial_release,is_current,release_notes,source_url,data_quality_note
ChatGPT,Android,AI Tools,OpenAI,Productivity,1.2026.055,2026-03-03,,False,From version 1.2025.343 : Minor Fixes and Improvements,https://www.apkmirror.com/apk/openai/chatgpt/chatgpt-1-2026-055-release/,Historical version from APKMirror (stratified sample of 500 pool; version_type=Stable); release_notes from APKMirror detail page
ChatGPT,Android,AI Tools,OpenAI,Productivity,1.2026.069,2026-03-18,,False,Minor fixes and improvements,https://www.apkmirror.com/apk/openai/chatgpt/chatgpt-1-2026-069-release/,Historical version from APKMirror (stratified sample of 500 pool; version_type=Stable); release_notes from APKMirror detail page
ChatGPT,Android,AI Tools,OpenAI,Productivity,1.2026.083,2026-04-02,,False,Minor fixes and improvements,https://www.apkmirror.com/apk/openai/chatgpt/chatgpt-1-2026-083-release/,Historical version from APKMirror (stratified sample of 500 pool; version_type=Stable); release_notes from APKMirror detail page
ChatGPT,Android,AI Tools,OpenAI,Productivity,1.2026.090,2026-04-05,,False,Minor fixes and improvements,https://www.apkmirror.com/apk/openai/chatgpt/chatgpt-1-2026-090-release/,Historical version from APKMirror (stratified sample of 500 pool; version_type=Stable); release_notes from APKMirror detail page
ChatGPT,Android,AI Tools,OpenAI,Productivity,1.2026.104,2026-04-22,,False,From version 1.2026.097 : Minor fixes and improvements,https://www.apkmirror.com/apk/openai/chatgpt/chatgpt-1-2026-104-release/,Historical version from APKMirror (stratified sample of 500 pool; version_type=Stable); release_notes from APKMirror detail page
ChatGPT,Android,AI Tools,OpenAI,Productivity,1.2026.118,2026-05-01,,True,,https://play.google.com/store/apps/details?id=com.openai.chatgpt,Current version retrieved from google-play-scraper
ChatGPT,Android,AI Tools,OpenAI,Productivity,1.2026.118,2026-05-06,,False,From version 1.2026.097 : Minor fixes and improvements,https://www.apkmirror.com/apk/openai/chatgpt/chatgpt-1-2026-118-release/,Historical version from APKMirror (stratified sample of 500 pool; version_type=Stable); release_notes from APKMirror detail page
ChatGPT,iOS,AI Tools,"OpenAI OpCo, LLC",Productivity,1.2026.118,2026-05-06,2023-05-18T07:00:00Z,True,Bug fixes and small improvements.,https://itunes.apple.com/lookup?id=6448311069,Current version retrieved from iTunes Lookup API. iOS historical versions unavailable: Wayback Machine CDX returned 503/SSL errors during collection.
DoorDash,Android,Food Delivery,DoorDash,Food & Drink,15.273.1,2026-05-04,,True,"Our mission is to deliver good by connecting people and possibility. If we can play a small role in helping you spend more time with your friends and family or get ahead on your favorite projects, then we have delivered good. We’re launching a new set of initiatives to deliver good within our communities, and you’ll see a new visual identity that reflects our spirit. Thank you for making DoorDash a success — we wouldn’t be here without you. Upward and onward! Tony Xu, CEO and Co-Founder",https://play.google.com/store/apps/details?id=com.dd.doordash,Current version retrieved from google-play-scraper; release_notes backfilled from Google Play web page
DoorDash,iOS,Food Delivery,"DoorDash, Inc.",Food & Drink,3.1.69,2013-10-09,2013-10-10T19:46:20Z,False,,https://web.archive.org/web/20190927220536/https://apps.apple.com/us/app/id719972451,Historical snapshot from Wayback Machine (20190927)
DoorDash,iOS,Food Delivery,"DoorDash, Inc.",Food & Drink,3.1.53,2013-10-10,2013-10-10T19:46:20Z,False,,https://web.archive.org/web/20190722144645/https://apps.apple.com/us/app/id719972451,Historical snapshot from Wayback Machine (20190722)
DoorDash,iOS,Food Delivery,"DoorDash, Inc.",Food & Drink,4.64.4,2013-10-10,2013-10-10T19:46:20Z,False,,https://web.archive.org/web/20211220223932/https://apps.apple.com/us/app/id719972451,Historical snapshot from Wayback Machine (20211220)
DoorDash,iOS,Food Delivery,"DoorDash, Inc.",Food & Drink,4.73.0,2013-10-10,2013-10-10T19:46:20Z,False,,https://web.archive.org/web/20220308011541/https://apps.apple.com/us/app/id719972451,Historical snapshot from Wayback Machine (20220308)
DoorDash,iOS,Food Delivery,"DoorDash, Inc.",Food & Drink,4.81.1,2013-10-10,2013-10-10T19:46:20Z,False,,https://web.archive.org/web/20220507072006/https://apps.apple.com/us/app/id719972451,Historical snapshot from Wayback Machine (20220507)
DoorDash,iOS,Food Delivery,"DoorDash, Inc.",Food & Drink,8.17.2,2026-05-05,2013-10-10T19:46:20Z,True,Minor updates and performance improvements,https://itunes.apple.com/lookup?id=719972451,Current version retrieved from iTunes Lookup API
Google Maps,Android,Navigation,Google LLC,Travel & Local,26.16.05.898594237,2026-04-20,,False,Thanks for using Google Maps! This release brings bug fixes that improve our product to help you discover new places and navigate to them. Become a beta tester: goo.gl/vLUcaJ,https://www.apkmirror.com/apk/google-inc/maps/google-maps-26-16-05-898594237-release/,Historical version from APKMirror (stratified sample of 520 pool; version_type=Stable); release_notes from APKMirror detail page
Google Maps,Android,Navigation,Google LLC,Travel & Local,26.17.02.901412876,2026-04-22,,False,Thanks for using Google Maps! This release brings bug fixes that improve our product to help you discover new places and navigate to them. Become a beta tester: goo.gl/vLUcaJ,https://www.apkmirror.com/apk/google-inc/maps/google-maps-26-17-02-901412876-release/,Historical version from APKMirror (stratified sample of 520 pool; version_type=Stable); release_notes from APKMirror detail page
Google Maps,Android,Navigation,Google LLC,Travel & Local,26.15.04.894202351,2026-04-24,,False,Thanks for using Google Maps! This release brings bug fixes that improve our product to help you discover new places and navigate to them. Become a beta tester: goo.gl/vLUcaJ,https://www.apkmirror.com/apk/google-inc/maps/google-maps-26-15-04-894202351-release/,Historical version from APKMirror (stratified sample of 520 pool; version_type=Stable); release_notes from APKMirror detail page
Google Maps,Android,Navigation,Google LLC,Travel & Local,26.16.12.898594237,2026-04-24,,False,Thanks for using Google Maps! This release brings bug fixes that improve our product to help you discover new places and navigate to them. Become a beta tester: goo.gl/vLUcaJ,https://www.apkmirror.com/apk/google-inc/maps/google-maps-26-16-12-898594237-release/,Historical version from APKMirror (stratified sample of 520 pool; version_type=Stable); release_notes from APKMirror detail page
Google Maps,Android,Navigation,Google LLC,Travel & Local,26.16.13.898594237,2026-04-29,,False,,https://www.apkmirror.com/apk/google-inc/maps/google-maps-26-16-13-898594237-release/,Historical version from APKMirror (stratified sample of 520 pool; version_type=Stable)
Google Maps,Android,Navigation,Google LLC,Travel & Local,26.17.06.901412876,2026-04-29,,False,,https://www.apkmirror.com/apk/google-inc/maps/google-maps-26-17-06-901412876-release/,Historical version from APKMirror (stratified sample of 520 pool; version_type=Stable)
Google Maps,Android,Navigation,Google LLC,Travel & Local,Varies with device,2026-04-30,,True,Thanks for using Google Maps! This release brings bug fixes that improve our product to help you discover new places and navigate to them. Become a beta tester: http://goo.gl/vLUcaJ,https://play.google.com/store/apps/details?id=com.google.android.apps.maps,Current version retrieved from google-play-scraper; release_notes backfilled from Google Play web page
Google Maps,iOS,Navigation,Google,Navigation,6.71.0,2012-12-13,2012-12-13T04:21:00Z,False,,https://web.archive.org/web/20230618135053/https://apps.apple.com/us/app/id585027354,Historical snapshot from Wayback Machine (20230618)
Google Maps,iOS,Navigation,Google,Navigation,26.18.0,2026-05-01,2012-12-13T04:21:00Z,True,Thanks for using Google Maps! This release brings bug fixes that improve our product to help you discover new places and navigate to them.,https://itunes.apple.com/lookup?id=585027354,Current version retrieved from iTunes Lookup API
Instagram,Android,Social Media,Instagram,Social,Varies with device,2026-05-04,,True,,https://play.google.com/store/apps/details?id=com.instagram.android,Current version retrieved from google-play-scraper
Instagram,iOS,Social Media,"Instagram, Inc.",Photo & Video,102.0,2010-10-06,2010-10-06T08:12:41Z,False,,https://web.archive.org/web/20190719074629/https://apps.apple.com/us/app/id389801252,Historical snapshot from Wayback Machine (20190719)
Instagram,iOS,Social Media,"Instagram, Inc.",Photo & Video,106.0,2010-10-06,2010-10-06T08:12:41Z,False,,https://web.archive.org/web/20190818113928/https://apps.apple.com/us/app/id389801252,Historical snapshot from Wayback Machine (20190818)
Instagram,iOS,Social Media,"Instagram, Inc.",Photo & Video,428.2.0,2026-05-05,2010-10-06T08:12:41Z,True,"Performance optimizations and stability improvements for a smoother, more reliable experience.",https://itunes.apple.com/lookup?id=389801252,Current version retrieved from iTunes Lookup API
Netflix,Android,Entertainment,"Netflix, Inc.",Entertainment,9.63.0,2026-04-22,,False,Get the best experience for enjoying recent hits and timeless classics with our latest Netflix update for your phone and tablet.,https://www.apkmirror.com/apk/netflix-inc/netflix/netflix-9-63-0-build-4-64202-release/,Historical version from APKMirror (stratified sample of 500 pool; version_type=Stable); release_notes from APKMirror detail page
Netflix,Android,Entertainment,"Netflix, Inc.",Entertainment,9.63.1,2026-04-24,,False,Get the best experience for enjoying recent hits and timeless classics with our latest Netflix update for your phone and tablet.,https://www.apkmirror.com/apk/netflix-inc/netflix/netflix-9-63-1-build-5-64052-release/,Historical version from APKMirror (stratified sample of 500 pool; version_type=Stable); release_notes from APKMirror detail page
Netflix,Android,Entertainment,"Netflix, Inc.",Entertainment,9.64.0,2026-04-25,,False,Get the best experience for enjoying recent hits and timeless classics with our latest Netflix update for your phone and tablet.,https://www.apkmirror.com/apk/netflix-inc/netflix/netflix-9-64-0-build-5-64222-release/,Historical version from APKMirror (stratified sample of 500 pool; version_type=Stable); release_notes from APKMirror detail page
Netflix,Android,Entertainment,"Netflix, Inc.",Entertainment,9.64.0,2026-04-27,,False,Get the best experience for enjoying recent hits and timeless classics with our latest Netflix update for your phone and tablet.,https://www.apkmirror.com/apk/netflix-inc/netflix/netflix-9-64-0-build-6-64226-release/,Historical version from APKMirror (stratified sample of 500 pool; version_type=Stable); release_notes from APKMirror detail page
Netflix,Android,Entertainment,"Netflix, Inc.",Entertainment,9.65.0,2026-05-01,,False,Get the best experience for enjoying recent hits and timeless classics with our latest Netflix update for your phone and tablet.,https://www.apkmirror.com/apk/netflix-inc/netflix/netflix-9-65-0-build-6-64238-release/,Historical version from APKMirror (stratified sample of 500 pool; version_type=Stable); release_notes from APKMirror detail page
Netflix,Android,Entertainment,"Netflix, Inc.",Entertainment,9.65.0,2026-05-02,,False,Get the best experience for enjoying recent hits and timeless classics with our latest Netflix update for your phone and tablet.,https://www.apkmirror.com/apk/netflix-inc/netflix/netflix-9-65-0-build-7-64242-release/,Historical version from APKMirror (stratified sample of 500 pool; version_type=Stable); release_notes from APKMirror detail page
Netflix,Android,Entertainment,"Netflix, Inc.",Entertainment,Varies with device,2026-05-04,,True,Get the best experience for enjoying recent hits and timeless classics with our latest Netflix update for your phone and tablet.,https://play.google.com/store/apps/details?id=com.netflix.mediaclient,Current version retrieved from google-play-scraper; release_notes backfilled from Google Play web page
Netflix,iOS,Entertainment,"Netflix, Inc.",Entertainment,12.12.0,2010-03-31,2010-04-01T20:41:34Z,False,,https://web.archive.org/web/20191205155626/https://apps.apple.com/us/app/id363590051,Historical snapshot from Wayback Machine (20191205)
Netflix,iOS,Entertainment,"Netflix, Inc.",Entertainment,12.49.0,2010-03-31,2010-04-01T20:41:34Z,False,,https://web.archive.org/web/20200916165951/https://apps.apple.com/us/app/id363590051,Historical snapshot from Wayback Machine (20200916)
Netflix,iOS,Entertainment,"Netflix, Inc.",Entertainment,13.13.0,2010-03-31,2010-04-01T20:41:34Z,False,,https://web.archive.org/web/20210203185452/https://apps.apple.com/us/app/id363590051,Historical snapshot from Wayback Machine (20210203)
Netflix,iOS,Entertainment,"Netflix, Inc.",Entertainment,13.23.0,2010-03-31,2010-04-01T20:41:34Z,False,,https://web.archive.org/web/20210416093106/https://apps.apple.com/us/app/id363590051,Historical snapshot from Wayback Machine (20210416)
Netflix,iOS,Entertainment,"Netflix, Inc.",Entertainment,11.42.0,2010-04-01,2010-04-01T20:41:34Z,False,,https://web.archive.org/web/20190717084001/https://apps.apple.com/us/app/id363590051,Historical snapshot from Wayback Machine (20190717)
Netflix,iOS,Entertainment,"Netflix, Inc.",Entertainment,11.46.0,2010-04-01,2010-04-01T20:41:34Z,False,,https://web.archive.org/web/20190818015043/https://apps.apple.com/us/app/id363590051,Historical snapshot from Wayback Machine (20190818)
Netflix,iOS,Entertainment,"Netflix, Inc.",Entertainment,14.30.0,2010-04-01,2010-04-01T20:41:34Z,False,,https://web.archive.org/web/20220401074317/https://apps.apple.com/us/app/id363590051,Historical snapshot from Wayback Machine (20220401)
Netflix,iOS,Entertainment,"Netflix, Inc.",Entertainment,16.1,2010-04-01,2010-04-01T20:41:34Z,False,,https://web.archive.org/web/20230927113719/https://apps.apple.com/us/app/id363590051,Historical snapshot from Wayback Machine (20230927)
Netflix,iOS,Entertainment,"Netflix, Inc.",Entertainment,18.30.0,2026-05-04,2010-04-01T20:41:34Z,True,"We’re working on the app experience. You work on what, when, and how you watch next. That's equally as important.

We know you have choices. In this release, we made gallery improvements so it’s easier to find the perfect thing to watch.",https://itunes.apple.com/lookup?id=363590051,Current version retrieved from iTunes Lookup API
PayPal,Android,Finance,PayPal Mobile,Finance,8.105.1,2026-04-22,,True,"Get the latest update, so you can pay, send and save smarter. Unlock cash back offers and more. With PayPal, it really adds up.",https://play.google.com/store/apps/details?id=com.paypal.android.p2pmobile,Current version retrieved from google-play-scraper; release_notes backfilled from Google Play web page
PayPal,iOS,Finance,"PayPal, Inc.",Finance,7.14.0,2008-07-11,2019-02-03T08:00:00Z,False,,https://web.archive.org/web/20190917171410/https://apps.apple.com/us/app/id283646709,Historical snapshot from Wayback Machine (20190917)
PayPal,iOS,Finance,"PayPal, Inc.",Finance,7.33.0,2019-02-02,2019-02-03T08:00:00Z,False,,https://web.archive.org/web/20201025162548/https://apps.apple.com/us/app/id283646709,Historical snapshot from Wayback Machine (20201025)
PayPal,iOS,Finance,"PayPal, Inc.",Finance,7.40.0,2019-02-02,2019-02-03T08:00:00Z,False,,https://web.archive.org/web/20210417005632/https://apps.apple.com/us/app/id283646709,Historical snapshot from Wayback Machine (20210417)
PayPal,iOS,Finance,"PayPal, Inc.",Finance,7.42.1,2019-02-02,2019-02-03T08:00:00Z,False,,https://web.archive.org/web/20210616012504/https://apps.apple.com/us/app/id283646709,Historical snapshot from Wayback Machine (20210616)
PayPal,iOS,Finance,"PayPal, Inc.",Finance,8.7.1,2019-02-03,2019-02-03T08:00:00Z,False,,https://web.archive.org/web/20211220223958/https://apps.apple.com/us/app/id283646709,Historical snapshot from Wayback Machine (20211220)
PayPal,iOS,Finance,"PayPal, Inc.",Finance,8.8.2,2019-02-03,2019-02-03T08:00:00Z,False,,https://web.archive.org/web/20220104003045/https://apps.apple.com/us/app/id283646709,Historical snapshot from Wayback Machine (20220104)
PayPal,iOS,Finance,"PayPal, Inc.",Finance,8.12.0,2019-02-03,2019-02-03T08:00:00Z,False,,https://web.archive.org/web/20220308011651/https://apps.apple.com/us/app/id283646709,Historical snapshot from Wayback Machine (20220308)
PayPal,iOS,Finance,"PayPal, Inc.",Finance,8.16.0,2019-02-03,2019-02-03T08:00:00Z,False,,https://web.archive.org/web/20220507071926/https://apps.apple.com/us/app/id283646709,Historical snapshot from Wayback Machine (20220507)
PayPal,iOS,Finance,"PayPal, Inc.",Finance,8.36.0,2019-02-03,2019-02-03T08:00:00Z,False,,https://web.archive.org/web/20230326023127/https://apps.apple.com/us/app/id283646709,Historical snapshot from Wayback Machine (20230326)
PayPal,iOS,Finance,"PayPal, Inc.",Finance,8.49.0,2019-02-03,2019-02-03T08:00:00Z,False,,https://web.archive.org/web/20230924173347/https://apps.apple.com/us/app/id283646709,Historical snapshot from Wayback Machine (20230924)
PayPal,iOS,Finance,"PayPal, Inc.",Finance,8.106.0,2026-05-04,2019-02-03T08:00:00Z,True,"Get the latest update, so you can pay, send and save smarter. Unlock cash back offers and more. With PayPal, it really adds up.",https://itunes.apple.com/lookup?id=283646709,Current version retrieved from iTunes Lookup API
TikTok,Android,Social Media,TikTok Pte. Ltd.,Social,43.9.3,2026-03-03,,False,Add the latest stickers to your videos.,https://www.apkmirror.com/apk/tiktok-pte-ltd/tik-tok/tiktok-43-9-3-2-release/,Historical version from APKMirror (stratified sample of 482 pool; version_type=Stable); release_notes from APKMirror detail page
TikTok,Android,Social Media,TikTok Pte. Ltd.,Social,44.4.1,2026-03-24,,False,We've fixed some bugs and updated features to improve your experience on TikTok.,https://www.apkmirror.com/apk/tiktok-pte-ltd/tik-tok/tiktok-44-4-1-release/,Historical version from APKMirror (stratified sample of 482 pool; version_type=Stable); release_notes from APKMirror detail page
TikTok,Android,Social Media,TikTok Pte. Ltd.,Social,44.4.1,2026-03-24,,False,We've fixed some bugs and updated features to improve your experience on TikTok.,https://www.apkmirror.com/apk/tiktok-pte-ltd/tik-tok/tiktok-44-4-1-release/,Historical version from APKMirror (stratified sample of 482 pool; version_type=Stable); release_notes from APKMirror detail page
TikTok,Android,Social Media,TikTok Pte. Ltd.,Social,44.2.2,2026-03-24,,False,Easily add a sound to your video.,https://www.apkmirror.com/apk/tiktok-pte-ltd/tik-tok/tiktok-44-2-2-2-release/,Historical version from APKMirror (stratified sample of 482 pool; version_type=Stable); release_notes from APKMirror detail page
TikTok,Android,Social Media,TikTok Pte. Ltd.,Social,44.5.1,2026-04-03,,False,Sharing your favorite TikTok content with friends is now a lot easier.,https://www.apkmirror.com/apk/tiktok-pte-ltd/tik-tok/tiktok-44-5-1-2-release/,Historical version from APKMirror (stratified sample of 482 pool; version_type=Stable); release_notes from APKMirror detail page
TikTok,Android,Social Media,TikTok Pte. Ltd.,Social,44.6.2,2026-04-04,,False,Easily post videos and photos on TikTok with bug fixes and performance improvements.,https://www.apkmirror.com/apk/tiktok-pte-ltd/tik-tok/tiktok-44-6-2-2-release/,Historical version from APKMirror (stratified sample of 482 pool; version_type=Stable); release_notes from APKMirror detail page
TikTok,Android,Social Media,TikTok Pte. Ltd.,Social,Varies with device,2026-04-30,,True,Squashed bugs for better experience.,https://play.google.com/store/apps/details?id=com.zhiliaoapp.musically,Current version retrieved from google-play-scraper; release_notes backfilled from Google Play web page
TikTok,iOS,Social Media,TikTok Ltd.,Entertainment,15.3.0,2014-04-01,2014-04-02T22:44:45Z,False,,https://web.archive.org/web/20200320214910/https://apps.apple.com/us/app/id835599320,Historical snapshot from Wayback Machine (20200320)
TikTok,iOS,Social Media,TikTok Ltd.,Entertainment,16.0.0,2014-04-01,2014-04-02T22:44:45Z,False,,https://web.archive.org/web/20200519013448/https://apps.apple.com/us/app/id835599320,Historical snapshot from Wayback Machine (20200519)
TikTok,iOS,Social Media,TikTok Ltd.,Entertainment,17.2.0,2014-04-01,2014-04-02T22:44:45Z,False,,https://web.archive.org/web/20200810120122/https://apps.apple.com/us/app/id835599320,Historical snapshot from Wayback Machine (20200810)
TikTok,iOS,Social Media,TikTok Ltd.,Entertainment,18.3.0,2014-04-01,2014-04-02T22:44:45Z,False,,https://web.archive.org/web/20210107164950/https://apps.apple.com/us/app/id835599320,Historical snapshot from Wayback Machine (20210107)
TikTok,iOS,Social Media,TikTok Ltd.,Entertainment,19.0.0,2014-04-01,2014-04-02T22:44:45Z,False,,https://web.archive.org/web/20210417212716/https://apps.apple.com/us/app/id835599320,Historical snapshot from Wayback Machine (20210417)
TikTok,iOS,Social Media,TikTok Ltd.,Entertainment,11.6.0,2014-04-02,2014-04-02T22:44:45Z,False,,https://web.archive.org/web/20190613013151/https://apps.apple.com/us/app/id835599320,Historical snapshot from Wayback Machine (20190613)
TikTok,iOS,Social Media,TikTok Ltd.,Entertainment,12.1.0,2014-04-02,2014-04-02T22:44:45Z,False,,https://web.archive.org/web/20190716084654/https://apps.apple.com/us/app/id835599320,Historical snapshot from Wayback Machine (20190716)
TikTok,iOS,Social Media,TikTok Ltd.,Entertainment,12.6.1,2014-04-02,2014-04-02T22:44:45Z,False,,https://web.archive.org/web/20190820230840/https://apps.apple.com/us/app/id835599320,Historical snapshot from Wayback Machine (20190820)
TikTok,iOS,Social Media,TikTok Ltd.,Entertainment,22.5.0,2014-04-02,2014-04-02T22:44:45Z,False,,https://web.archive.org/web/20220104002510/https://apps.apple.com/us/app/id835599320,Historical snapshot from Wayback Machine (20220104)
TikTok,iOS,Social Media,TikTok Ltd.,Entertainment,23.8.0,2014-04-02,2014-04-02T22:44:45Z,False,,https://web.archive.org/web/20220401074021/https://apps.apple.com/us/app/id835599320,Historical snapshot from Wayback Machine (20220401)
TikTok,iOS,Social Media,TikTok Ltd.,Entertainment,25.1.0,2014-04-02,2014-04-02T22:44:45Z,False,,https://web.archive.org/web/20220708233720/https://apps.apple.com/us/app/id835599320,Historical snapshot from Wayback Machine (20220708)
TikTok,iOS,Social Media,TikTok Ltd.,Entertainment,28.2.0,2014-04-02,2014-04-02T22:44:45Z,False,,https://web.archive.org/web/20230223181725/https://apps.apple.com/us/app/id835599320,Historical snapshot from Wayback Machine (20230223)
TikTok,iOS,Social Media,TikTok Ltd.,Entertainment,29.2.0,2014-04-02,2014-04-02T22:44:45Z,False,,https://web.archive.org/web/20230428023302/https://apps.apple.com/us/app/id835599320,Historical snapshot from Wayback Machine (20230428)
TikTok,iOS,Social Media,TikTok Ltd.,Entertainment,29.3.0,2014-04-02,2014-04-02T22:44:45Z,False,,https://web.archive.org/web/20230509053348/https://apps.apple.com/us/app/id835599320,Historical snapshot from Wayback Machine (20230509)
TikTok,iOS,Social Media,TikTok Ltd.,Entertainment,45.0.0,2026-05-06,2014-04-02T22:44:45Z,True,Squashed bugs for better experience.,https://itunes.apple.com/lookup?id=835599320,Current version retrieved from iTunes Lookup API
Uber,Android,Transportation,"Uber Technologies, Inc.",Maps & Navigation,4.629.10001,2026-05-01,,True,We update the Uber app as often as possible to help make it faster and more reliable for you. This version includes several bug fixes and performance improvements. Love the app? Rate us! Your feedback helps us to improve the Uber app. Have a question? Tap Help in the Uber app or visit help.uber.com.,https://play.google.com/store/apps/details?id=com.ubercab,Current version retrieved from google-play-scraper; release_notes backfilled from Google Play web page
Uber,iOS,Transportation,"Uber Technologies, Inc.",Travel,3.720.10000,2026-05-04,2010-05-21T03:11:23Z,True,"We update the Uber app as often as possible to make it faster and more reliable for you. Here are a couple of the enhancements you'll find in the latest update:

- Updates to improve localization across the app
- Various bug fixes & improvements
  
Love the app? Rate us! Your feedback keeps the Uber engine running.
Have a question? Tap Help in the Uber app or visit help.uber.com.",https://itunes.apple.com/lookup?id=368677368,Current version retrieved from iTunes Lookup API. iOS historical versions unavailable: Wayback Machine CDX returned 503/SSL errors during collection.
